# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: bne.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
             174   N   00000394   0e209163   00000396   x02_sp     00000000
             175   N   00000396   00000205   0000039a   ---        --------
             176   N   0000039a   00004289   0000039c   x04_tp     00000001
             177   N   0000039c   fe5219e3   0000039e   x05_t0     00000002
             178   N   0000039e   00004e35   00000390   ---        --------
             181   N   00000390   00000001   00000392   x01_ra     00000000
             182   N   00000392   00004101   00000394   ---        --------
             183   N   00000394   0e209163   00000396   x02_sp     00000000
             184   N   00000396   00000205   0000039a   ---        --------
             185   N   0000039a   00004289   0000039c   x04_tp     00000002
             186   N   0000039c   fe5219e3   0000039e   x05_t0     00000002
             187   N   0000039e   00004e35   000003a2   ---        --------
             188   N   000003a2   00004201   000003a4   x28_t3     0000000d
             189   N   000003a4   00004081   000003a6   x04_tp     00000000
             190   N   000003a6   00000001   000003a8   x01_ra     00000000
             191   N   000003a8   00004101   000003aa   ---        --------
             192   N   000003aa   00000001   000003ac   x02_sp     00000000
             193   N   000003ac   0c209563   000003ae   ---        --------
             194   N   000003ae   00000205   000003b2   ---        --------
             195   N   000003b2   00004289   000003b4   x04_tp     00000001
             196   N   000003b4   fe5218e3   000003b6   x05_t0     00000002
             197   N   000003b6   00004e39   000003a6   ---        --------
             200   N   000003a6   00000001   000003a8   x01_ra     00000000
             201   N   000003a8   00004101   000003aa   ---        --------
             202   N   000003aa   00000001   000003ac   x02_sp     00000000
             203   N   000003ac   0c209563   000003ae   ---        --------
             204   N   000003ae   00000205   000003b2   ---        --------
             205   N   000003b2   00004289   000003b4   x04_tp     00000002
             206   N   000003b4   fe5218e3   000003b6   x05_t0     00000002
             207   N   000003b6   00004e39   000003ba   ---        --------
             208   N   000003ba   00004201   000003bc   x28_t3     0000000e
             209   N   000003bc   00004081   000003be   x04_tp     00000000
             210   N   000003be   00000001   000003c0   x01_ra     00000000
             211   N   000003c0   00000001   000003c2   ---        --------
             212   N   000003c2   00004101   000003c4   ---        --------
             213   N   000003c4   0a209963   000003c6   x02_sp     00000000
             214   N   000003c6   00000205   000003ca   ---        --------
             215   N   000003ca   00004289   000003cc   x04_tp     00000001
             216   N   000003cc   fe5218e3   000003ce   x05_t0     00000002
             217   N   000003ce   00004e3d   000003be   ---        --------
             220   N   000003be   00000001   000003c0   x01_ra     00000000
             221   N   000003c0   00000001   000003c2   ---        --------
             222   N   000003c2   00004101   000003c4   ---        --------
             223   N   000003c4   0a209963   000003c6   x02_sp     00000000
             224   N   000003c6   00000205   000003ca   ---        --------
             225   N   000003ca   00004289   000003cc   x04_tp     00000002
             226   N   000003cc   fe5218e3   000003ce   x05_t0     00000002
             227   N   000003ce   00004e3d   000003d2   ---        --------
             228   N   000003d2   00004201   000003d4   x28_t3     0000000f
             229   N   000003d4   00004081   000003d6   x04_tp     00000000
             230   N   000003d6   00004101   000003d8   x01_ra     00000000
             231   N   000003d8   08209f63   000003da   x02_sp     00000000
             232   N   000003da   00000205   000003de   ---        --------
             233   N   000003de   00004289   000003e0   x04_tp     00000001
             234   N   000003e0   fe521ae3   000003e2   x05_t0     00000002
             235   N   000003e2   00004e41   000003d6   ---        --------
             238   N   000003d6   00004101   000003d8   x01_ra     00000000
             239   N   000003d8   08209f63   000003da   x02_sp     00000000
             240   N   000003da   00000205   000003de   ---        --------
             241   N   000003de   00004289   000003e0   x04_tp     00000002
             242   N   000003e0   fe521ae3   000003e2   x05_t0     00000002
             243   N   000003e2   00004e41   000003e6   ---        --------
             244   N   000003e6   00004201   000003e8   x28_t3     00000010
             245   N   000003e8   00004081   000003ea   x04_tp     00000000
             246   N   000003ea   00004101   000003ec   x01_ra     00000000
             247   N   000003ec   00000001   000003ee   x02_sp     00000000
             248   N   000003ee   08209463   000003f0   ---        --------
             249   N   000003f0   00000205   000003f4   ---        --------
             250   N   000003f4   00004289   000003f6   x04_tp     00000001
             251   N   000003f6   fe5219e3   000003f8   x05_t0     00000002
             252   N   000003f8   00004e45   000003ea   ---        --------
             255   N   000003ea   00004101   000003ec   x01_ra     00000000
             256   N   000003ec   00000001   000003ee   x02_sp     00000000
             257   N   000003ee   08209463   000003f0   ---        --------
             258   N   000003f0   00000205   000003f4   ---        --------
             259   N   000003f4   00004289   000003f6   x04_tp     00000002
             260   N   000003f6   fe5219e3   000003f8   x05_t0     00000002
             261   N   000003f8   00004e45   000003fc   ---        --------
             262   N   000003fc   00004201   000003fe   x28_t3     00000011
             263   N   000003fe   00004081   00000400   x04_tp     00000000
             264   N   00000400   00004101   00000402   x01_ra     00000000
             265   N   00000402   00000001   00000404   x02_sp     00000000
             266   N   00000404   00000001   00000406   ---        --------
             267   N   00000406   06209863   00000408   ---        --------
             268   N   00000408   00000205   0000040c   ---        --------
             269   N   0000040c   00004289   0000040e   x04_tp     00000001
             270   N   0000040e   fe5218e3   00000410   x05_t0     00000002
             271   N   00000410   00004e49   00000400   ---        --------
             274   N   00000400   00004101   00000402   x01_ra     00000000
             275   N   00000402   00000001   00000404   x02_sp     00000000
             276   N   00000404   00000001   00000406   ---        --------
             277   N   00000406   06209863   00000408   ---        --------
             278   N   00000408   00000205   0000040c   ---        --------
             279   N   0000040c   00004289   0000040e   x04_tp     00000002
             280   N   0000040e   fe5218e3   00000410   x05_t0     00000002
             281   N   00000410   00004e49   00000414   ---        --------
             282   N   00000414   00004201   00000416   x28_t3     00000012
             283   N   00000416   00004081   00000418   x04_tp     00000000
             284   N   00000418   00000001   0000041a   x01_ra     00000000
             285   N   0000041a   00004101   0000041c   ---        --------
             286   N   0000041c   04209d63   0000041e   x02_sp     00000000
             287   N   0000041e   00000205   00000422   ---        --------
             288   N   00000422   00004289   00000424   x04_tp     00000001
             289   N   00000424   fe5219e3   00000426   x05_t0     00000002
             290   N   00000426   00004e4d   00000418   ---        --------
             293   N   00000418   00000001   0000041a   x01_ra     00000000
             294   N   0000041a   00004101   0000041c   ---        --------
             295   N   0000041c   04209d63   0000041e   x02_sp     00000000
             296   N   0000041e   00000205   00000422   ---        --------
             297   N   00000422   00004289   00000424   x04_tp     00000002
             298   N   00000424   fe5219e3   00000426   x05_t0     00000002
             299   N   00000426   00004e4d   0000042a   ---        --------
             300   N   0000042a   00004201   0000042c   x28_t3     00000013
             301   N   0000042c   00004081   0000042e   x04_tp     00000000
             302   N   0000042e   00000001   00000430   x01_ra     00000000
             303   N   00000430   00004101   00000432   ---        --------
             304   N   00000432   00000001   00000434   x02_sp     00000000
             305   N   00000434   04209163   00000436   ---        --------
             306   N   00000436   00000205   0000043a   ---        --------
             307   N   0000043a   00004289   0000043c   x04_tp     00000001
             308   N   0000043c   fe5218e3   0000043e   x05_t0     00000002
             309   N   0000043e   00004e51   0000042e   ---        --------
             312   N   0000042e   00000001   00000430   x01_ra     00000000
             313   N   00000430   00004101   00000432   ---        --------
             314   N   00000432   00000001   00000434   x02_sp     00000000
             315   N   00000434   04209163   00000436   ---        --------
             316   N   00000436   00000205   0000043a   ---        --------
             317   N   0000043a   00004289   0000043c   x04_tp     00000002
             318   N   0000043c   fe5218e3   0000043e   x05_t0     00000002
             319   N   0000043e   00004e51   00000442   ---        --------
             320   N   00000442   00004201   00000444   x28_t3     00000014
             321   N   00000444   00004081   00000446   x04_tp     00000000
             322   N   00000446   00000001   00000448   x01_ra     00000000
             323   N   00000448   00000001   0000044a   ---        --------
             324   N   0000044a   00004101   0000044c   ---        --------
             325   N   0000044c   02209563   0000044e   x02_sp     00000000
             326   N   0000044e   00000205   00000452   ---        --------
             327   N   00000452   00004289   00000454   x04_tp     00000001
             328   N   00000454   fe5218e3   00000456   x05_t0     00000002
             329   N   00000456   00004085   00000446   ---        --------
             332   N   00000446   00000001   00000448   x01_ra     00000000
             333   N   00000448   00000001   0000044a   ---        --------
             334   N   0000044a   00004101   0000044c   ---        --------
             335   N   0000044c   02209563   0000044e   x02_sp     00000000
             336   N   0000044e   00000205   00000452   ---        --------
             337   N   00000452   00004289   00000454   x04_tp     00000002
             338   N   00000454   fe5218e3   00000456   x05_t0     00000002
             339   N   00000456   00004085   0000045a   ---        --------
             340   N   0000045a   00009663   0000045c   x01_ra     00000001
             341   N   0000045c   00000085   00000468   ---        --------
             344   N   00000468   00000085   0000046a   x01_ra     00000002
             345   N   0000046a   00004e8d   0000046c   x01_ra     00000003
             346   N   0000046c   00004e55   0000046e   x29_t4     00000003
             347   N   0000046e   01d09463   00000470   x28_t3     00000015
             348   N   00000470   01c01863   00000474   ---        --------
             349   N   00000474   0ff0000f   00000484   ---        --------
             352   N   00000484   000085f2   00000488   ---        --------
             353   N   00000488   00004501   0000048a   x11_a1     00000015
             354   N   0000048a   00000073   0000048c   x10_a0     00000000
             355   E   0000048c   00000073   000001c0   mstatus    00001800
             355   E   0000048c   00000073   000001c0   mepc       0000048c
             355   E   0000048c   00000073   000001c0   mcause     0000000b
             355   E   0000048c   00000073   000001c0   mtval      00000000
